"","SEEM_WT1","SEEM_WT2","SEEM_WT3","SEDM_WT1","SEDM_WT2","SEDM_WT3"
"0610005C13Rik",8,13,8,9,12,3
"0610006L08Rik",0,0,0,0,0,0
"0610009E02Rik",530,475,445,610,572,494
"0610009L18Rik",5,4,9,14,7,16
"0610010K14Rik",521,583,557,515,454,580
"0610025J13Rik",0,0,0,0,0,0
"0610030E20Rik",1012,1000,1041,1459,1352,1472
"0610031O16Rik",0,0,0,0,0,0
"0610038B21Rik",25,22,31,48,23,25
"0610039H22Rik",5,2,0,1,1,0
"0610039K10Rik",1237,1282,1368,1164,980,1075
"0610040B10Rik",16,21,21,9,18,19
"0610040F04Rik",149,129,134,217,192,193
"0610040J01Rik",24,16,15,13,16,19
"0610042G04Rik",57,47,54,75,65,60
"0610043K17Rik",0,1,0,2,1,3
"1100001I12Rik",0,0,0,0,0,0
"1110002E22Rik",0,1,1,0,1,0
"1110002J07Rik",2,17,6,23,25,20
"1110002L01Rik",185,174,181,196,172,234
"1110002O04Rik",0,0,0,0,0,0
"1110004F10Rik",1265,1252,1298,1008,1016,1056
"1110006O24Rik",22,17,17,29,19,17
"1110015O18Rik",0,0,0,0,0,0
"1110018N20Rik",1,0,0,2,0,0
"1110019D14Rik",53,42,37,43,52,45
"1110020A21Rik",11,4,8,6,6,12
"1110025L11Rik",0,0,0,0,0,0
"1110025M09Rik",198,225,194,282,212,225
"1110028F11Rik",0,8,4,4,2,4
"1110028F18Rik",0,0,0,0,0,0
"1110032F04Rik",4,5,6,3,5,0
"1110036E04Rik",0,0,0,0,0,0
"1110038B12Rik",288,289,370,303,330,334
"1110038F14Rik",268,323,313,239,251,270
"1110046J04Rik",3,5,6,3,2,2
"1110057P08Rik",0,0,0,0,0,0
"1110058D11Rik",0,0,0,0,1,2
"1110059E24Rik",209,205,186,125,117,142
"1110059G10Rik",249,224,201,195,174,195
"1110065P20Rik",85,92,100,90,76,69
"1190005I06Rik",0,0,0,0,0,0
"1190028D05Rik",0,0,0,0,0,0
"1300002E11Rik",81,93,98,121,103,122
"1500002C15Rik",301,296,360,309,323,363
"1500002F19Rik",218,238,190,222,197,217
"1500004A13Rik",168,162,172,164,103,129
"1500009L16Rik",0,0,2,0,1,3
"1500011B03Rik",146,156,174,197,172,193
