"","SEEM_WT1","SEEM_WT2","SEEM_WT3","SEDM_WT1","SEDM_WT2","SEDM_WT3"
"0610005C13Rik",3.12269758648014,3.16890074914919,3.12038106987749,3.13504737341314,3.1706836199356,3.07395834675294
"0610006L08Rik",0,0,0,0,0,0
"0610009E02Rik",9.01818607485732,8.8856326891302,8.80176647696041,9.20423078056677,9.19913277920041,8.96982192849629
"0610009L18Rik",3.13856313613914,3.12765693197069,3.17553383763828,3.22896972506431,3.16541554158682,3.24706178474387
"0610010K14Rik",9.00980675532911,9.11619367729414,9.0508989572407,9.02962045399268,8.95955604673856,9.15378032486257
"0610025J13Rik",0,0,0,0,0,0
"0610030E20Rik",9.99873185624907,9.96717249807785,9.99790329247634,10.4794017085119,10.4594841652735,10.4846617471822
"0610031O16Rik",0,0,0,0,0,0
"0610038B21Rik",4.80163990583004,4.77188231593434,4.84578712400149,4.996764513744,4.80400042547046,4.80746033518045
"0610039H22Rik",0.594872928283666,0.564531186485857,0.544118942589494,0.554937278174347,0.555669365018787,0.544383902879609
"0610039K10Rik",10.2352512820059,10.2612168827255,10.322892165409,10.1977767227007,10.0634232733471,10.09626192285
"0610040B10Rik",4.08781317620442,4.13058520662923,4.1280454043394,4.02440162691204,4.12103413197114,4.11949777295336
"0610040F04Rik",7.28116791491713,7.16907192237058,7.18485719205285,7.59870059531773,7.54601403629604,7.49887166279923
"0610040J01Rik",4.14982878626929,4.07620515735814,4.06492350048278,4.05437446411856,4.09221758949249,4.10998786726861
"0610042G04Rik",5.86469632969034,5.78469849823082,5.83114168535281,6.00160283771183,5.9610708633499,5.89697036857569
"0610043K17Rik",0.210930909729217,0.22113171022001,0.210818838742841,0.232082904466615,0.222290067500456,0.24233089898523
"1100001I12Rik",0,0,0,0,0,0
"1110002E22Rik",-1.02086709040489,-1.01063243741579,-1.01075638431595,-1.02073511832155,-1.00998791105012,-1.0207592373495
"1110002J07Rik",3.79580791766431,3.94258698550205,3.83495438874636,4.00469167591947,4.03444158235003,3.97661880253405
"1110002L01Rik",7.52832590306469,7.46898888958389,7.48831424534491,7.59869493278232,7.54234451310349,7.74300577791409
"1110002O04Rik",0,0,0,0,0,0
"1110004F10Rik",10.2554198056832,10.2254408706283,10.2518636106095,10.0177615274382,10.099586342631,10.067894124862
"1110006O24Rik",4.33853908773041,4.29095753829965,4.2885914059648,4.40556204899426,4.32772853411619,4.29754692655218
"1110015O18Rik",0,0,0,0,0,0
"1110018N20Rik",-0.992735838352164,-1.00306009703948,-1.0030838658022,-0.982066056314776,-1.00262912854795,-1.00296838357108
"1110019D14Rik",5.54761070570082,5.45947226015183,5.41523600382257,5.4824017362952,5.57412322243035,5.49650116160912
"1110020A21Rik",2.98606135746748,2.91674155582443,2.9549852603868,2.93949637974765,2.94351072364301,2.99808240504731
"1110025L11Rik",0,0,0,0,0,0
"1110025M09Rik",7.67771831394179,7.77233554271946,7.63725205235616,8.01020671800287,7.81064062369228,7.80620791771926
