"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",8.82659591149515,0.172058230895717,0.679998445346733,0.253027388625843,0.800247048628515,0.890424356491363
"0610006L08Rik",0,NA,NA,NA,NA,NA
"0610009E02Rik",521.033519575308,-0.299787808059481,0.110510101853965,-2.71276383814793,0.00667246406547505,0.0251990422136131
"0610009L18Rik",9.17155692286743,-1.12355724114505,0.667754103644928,-1.68259129372943,0.09245423825863,0.204886568802097
"0610010K14Rik",532.046125466983,0.012221250708798,0.0990675708686949,0.123362777563167,0.901819831084732,0.949094311856004
"0610025J13Rik",0,NA,NA,NA,NA,NA
"0610030E20Rik",1224.62101764365,-0.578269091618895,0.0672074473462524,-8.60424126272281,7.68232375996272e-18,2.42633392085489e-16
"0610031O16Rik",0,NA,NA,NA,NA,NA
"0610038B21Rik",28.9063932523103,-0.386107384639045,0.386535437102132,-0.998892591928192,0.317846725271237,0.50090725207269
"0610039H22Rik",1.48488110902383,1.7200663916714,1.78715410218095,0.962461149585435,0.335818009602175,NA
"0610039K10Rik",1176.04908366781,0.182467370281334,0.0732293880389774,2.49172327077502,0.0127125040009521,0.0428566427626482
"0610040B10Rik",17.2325219367772,0.239624309034395,0.477030190803216,0.502325248284431,0.615438751733022,0.763381852553726
"0610040F04Rik",169.44860440988,-0.636748438957519,0.155701027652597,-4.08955835781794,4.32195322053997e-05,0.00030636289350087
"0610040J01Rik",17.0977070372999,0.10806260054329,0.471443615140966,0.229216383619869,0.818700739257053,0.902794656628232
"0610042G04Rik",59.7057080400308,-0.43036358011029,0.25360655833698,-1.69697338638398,0.089701692190601,0.200267647992385
"0610043K17Rik",1.17823724929858,-2.5601831032695,1.938172142925,-1.32092658158103,0.186525845566091,NA
"1100001I12Rik",0,NA,NA,NA,NA,NA
"1110002E22Rik",0.498178107519644,0.797937100491575,2.73345997960456,0.291914681921559,0.770351857622541,NA
"1110002J07Rik",15.6970593099623,-1.5390509545408,0.574584305516573,-2.678546802905,0.00739423975866079,0.0274388074595213
"1110002L01Rik",189.780357172687,-0.244467607475378,0.150487311589125,-1.62450644438945,0.10426776613007,0.224078471692079
"1110002O04Rik",0,NA,NA,NA,NA,NA
"1110004F10Rik",1141.70056625942,0.217964804211044,0.0697295396720549,3.12586036328584,0.00177285710398481,0.00818297101717483
"1110006O24Rik",20.1416812350443,-0.302680645905127,0.436867774832112,-0.692842693699362,0.488408276042644,0.662936979538981
"1110015O18Rik",0,NA,NA,NA,NA,NA
"1110018N20Rik",0.499642665276873,-0.966803456366643,2.91128884644867,-0.33208778220203,0.739822975516908,NA
"1110019D14Rik",45.335458652525,-0.176351879056934,0.294714408954727,-0.598382276870706,0.549584888728476,0.713439661840779
"1110020A21Rik",7.79843595703689,-0.14504597347736,0.707854082215646,-0.204909425715754,0.83764289082023,0.91050682162471
"1110025L11Rik",0,NA,NA,NA,NA,NA
"1110025M09Rik",222.275433148375,-0.309230169645896,0.145026703215215,-2.13222918807585,0.032988010080258,0.0921263013075266
"1110028F11Rik",3.62154952975248,0.175313162524599,1.09124122078671,0.160654820570478,0.872365275064509,0.930619013530047
"1110028F18Rik",0,NA,NA,NA,NA,NA
"1110032F04Rik",3.80707430778628,0.79840991280075,1.04405161713511,0.764722643686521,0.444436719577921,0.624062922147327
"1110036E04Rik",0,NA,NA,NA,NA,NA
"1110038B12Rik",318.044251340858,-0.122827885939188,0.126458246619989,-0.971292021059642,0.331402880945328,0.51476103228803
"1110038F14Rik",275.615739274801,0.159016643977337,0.126923603282729,1.25285321141663,0.210259132265706,0.375685762858486
"1110046J04Rik",3.44272549516139,0.908281621733939,1.03866824103316,0.874467501606171,0.381863710900774,0.565975978918284
"1110057P08Rik",0,NA,NA,NA,NA,NA
"1110058D11Rik",0.513501371999963,-2.53196184633575,2.80845918935835,-0.901548384939937,0.367296820112933,NA
"1110059E24Rik",162.308280769122,0.55529338138115,0.158884369734669,3.49495285350264,0.000474145501731791,0.00260268797297576
"1110059G10Rik",205.105189111116,0.168725063192817,0.145118781937345,1.16266868382112,0.244963952093753,0.419442485734988
"1110065P20Rik",84.8087601347185,0.146048328361494,0.214915254356009,0.679562410770357,0.496781577418933,0.67088524846622
"1190005I06Rik",0,NA,NA,NA,NA,NA
"1190028D05Rik",0,NA,NA,NA,NA,NA
"1300002E11Rik",102.910801258741,-0.436667979125203,0.193720470753177,-2.25411376209987,0.0241890121133738,0.0718717075947022
"1500002C15Rik",324.320558007529,-0.147297374815829,0.121381878697771,-1.21350383101736,0.224937250560741,0.394275930967466
"1500002F19Rik",212.886423989255,-0.0663182699286915,0.142499874869786,-0.465391776584308,0.641650922076746,0.782506719772535
"1500004A13Rik",148.357786227769,0.255472197755829,0.175507256803753,1.45562184953691,0.145497184527308,0.287743785125539
"1500009L16Rik",0.998157503443432,-1.09565808054959,2.12037442022356,-0.516728588167966,0.605345636580441,NA
"1500011B03Rik",172.711031956945,-0.329607519486121,0.151817980247092,-2.17107037618117,0.0299258529451298,0.0851578055646809
"1500012K07Rik",0,NA,NA,NA,NA,NA
"1500015A07Rik",25.0045115375679,-0.0245176536189651,0.429514914370294,-0.0570821938858866,0.954479720513902,0.976523793243227
"1500015L24Rik",0,NA,NA,NA,NA,NA
"1500026H17Rik",1.61835484076151,1.91789129146332,1.6555768529545,1.15844292461609,0.246683330710584,NA
"1500035N22Rik",0.168200529969317,-1.05244054210006,4.0804728567969,-0.257921221151365,0.796467706711588,NA
"1600002D24Rik",0.685639107003295,-1.59322635141233,2.43476723285625,-0.654364955266505,0.512876706761646,NA
"1600010M07Rik",13.3340400260086,-1.46742913045615,0.553464500057582,-2.65135185780386,0.0080170273976299,0.0293161239851154
"1600012H06Rik",726.104832667232,-0.169311608938695,0.0819654944641332,-2.06564494053999,0.0388620177065276,0.104656831199247
"1600012P17Rik",0.160910203770832,0.871112809542433,4.0804728567969,0.213483299635582,0.830950013847407,NA
"1600014C10Rik",2639.40106806165,0.159383503091351,0.0557583928389485,2.85846659088097,0.00425693932775107,0.0172328744919996
"1600014C23Rik",2.04904291094185,-3.44777021790085,1.66508533473813,-2.0706267396458,0.0383936913102637,NA
"1600015H23Rik",0,NA,NA,NA,NA,NA
"1600019K03Rik",0,NA,NA,NA,NA,NA
